  PID TTY          TIME CMD
    1 ?        00:20:11 systemd
    2 ?        00:00:01 kthreadd
    3 ?        00:00:00 ksoftirqd/0
    5 ?        00:00:00 kworker/0:0H
    7 ?        00:00:00 migration/0
    8 ?        00:00:00 rcu_bh
    9 ?        00:28:49 rcu_sched
   10 ?        00:00:22 watchdog/0
   11 ?        00:00:22 watchdog/1
   12 ?        00:00:00 migration/1
   13 ?        00:00:00 ksoftirqd/1
   15 ?        00:00:00 kworker/1:0H
   16 ?        00:00:21 watchdog/2
   17 ?        00:00:00 migration/2
   18 ?        00:00:00 ksoftirqd/2
   20 ?        00:00:00 kworker/2:0H
   21 ?        00:00:21 watchdog/3
   22 ?        00:00:00 migration/3
   23 ?        00:00:00 ksoftirqd/3
   25 ?        00:00:00 kworker/3:0H
   26 ?        00:00:20 watchdog/4
   27 ?        00:00:02 migration/4
   28 ?        00:00:00 ksoftirqd/4
   30 ?        00:00:00 kworker/4:0H
   31 ?        00:00:19 watchdog/5
   32 ?        00:00:01 migration/5
   33 ?        00:00:00 ksoftirqd/5
   35 ?        00:00:00 kworker/5:0H
   36 ?        00:00:21 watchdog/6
   37 ?        00:00:02 migration/6
   38 ?        00:00:05 ksoftirqd/6
   40 ?        00:00:00 kworker/6:0H
   41 ?        00:00:21 watchdog/7
   42 ?        00:00:02 migration/7
   43 ?        00:00:00 ksoftirqd/7
   47 ?        00:00:00 kdevtmpfs
   48 ?        00:00:00 netns
   49 ?        00:00:02 khungtaskd
   50 ?        00:00:00 writeback
   51 ?        00:00:00 kintegrityd
   52 ?        00:00:00 bioset
   53 ?        00:00:00 kblockd
   54 ?        00:00:00 md
   60 ?        00:01:05 kswapd0
   61 ?        00:00:00 ksmd
   62 ?        00:00:28 khugepaged
   63 ?        00:00:00 fsnotify_mark
   64 ?        00:00:00 crypto
   72 ?        00:00:00 kthrotld
   75 ?        00:00:00 kmpath_rdacd
   76 ?        00:00:00 kpsmoused
   78 ?        00:00:00 ipv6_addrconf
   97 ?        00:00:00 deferwq
  135 ?        00:00:37 kauditd
  319 ?        00:00:00 ata_sff
  320 ?        00:00:00 scsi_eh_0
  321 ?        00:00:00 scsi_tmf_0
  322 ?        00:00:00 scsi_eh_1
  324 ?        00:00:00 scsi_tmf_1
  327 ?        00:00:00 scsi_eh_2
  328 ?        00:00:00 scsi_tmf_2
  329 ?        00:00:00 scsi_eh_3
  330 ?        00:00:00 scsi_tmf_3
  332 ?        00:02:19 kworker/u16:4
  355 ?        00:00:00 scsi_eh_4
  356 ?        00:00:00 scsi_tmf_4
  357 ?        00:00:00 scsi_eh_5
  358 ?        00:00:00 scsi_tmf_5
  361 ?        00:00:00 ttm_swap
  375 ?        00:00:00 kworker/1:1H
  378 ?        00:00:32 kworker/7:1H
  379 ?        00:02:03 kworker/0:1H
  402 ?        00:00:01 kworker/2:1H
  442 ?        00:00:00 kdmflush
  452 ?        00:00:00 kdmflush
  453 ?        00:00:00 bioset
  459 ?        00:00:00 kworker/3:1H
  469 ?        00:00:00 xfsalloc
  470 ?        00:00:00 xfs_mru_cache
  471 ?        00:00:00 xfs-buf/dm-0
  472 ?        00:00:00 xfs-data/dm-0
  473 ?        00:00:00 xfs-conv/dm-0
  474 ?        00:00:00 xfs-cil/dm-0
  475 ?        00:00:00 xfs-reclaim/dm-
  476 ?        00:00:00 xfs-log/dm-0
  477 ?        00:00:00 xfs-eofblocks/d
  478 ?        00:40:46 xfsaild/dm-0
  549 ?        00:00:00 kworker/5:1H
  550 ?        00:04:28 systemd-journal
  566 ?        00:00:01 systemd-udevd
  581 ?        00:00:00 lvmetad
  583 ?        00:00:00 rpciod
  725 ?        00:00:02 kworker/6:1
  746 ?        00:00:00 irq/32-mei_me
  800 ?        00:00:00 kworker/4:1H
  803 ?        00:00:00 kworker/6:1H
  875 ?        00:00:00 kvm-irqfd-clean
  889 ?        00:00:00 xfs-buf/sda3
  890 ?        00:00:00 xfs-data/sda3
  891 ?        00:00:00 xfs-conv/sda3
  892 ?        00:00:00 xfs-cil/sda3
  893 ?        00:00:00 xfs-reclaim/sda
  894 ?        00:00:00 xfs-log/sda3
  895 ?        00:00:00 xfs-eofblocks/s
  896 ?        00:00:00 xfsaild/sda3
  898 ?        00:00:00 kdmflush
  939 ?        00:01:25 auditd
  945 ?        00:01:36 audispd
  946 ?        00:00:53 sedispatch
  962 ?        00:00:07 avahi-daemon
  964 ?        00:03:26 dbus-daemon
  966 ?        00:00:00 avahi-daemon
  969 ?        00:00:49 polkitd
  970 ?        00:00:00 abrtd
  972 ?        00:00:03 abrt-watch-log
  973 ?        00:01:27 systemd-logind
  995 ?        00:00:15 ModemManager
  999 ?        00:00:00 abrt-watch-log
 1001 ?        00:00:14 lsmd
 1003 ?        00:00:12 chronyd
 1009 ?        00:00:01 alsactl
 1010 ?        00:12:40 irqbalance
 1019 ?        00:00:02 smartd
 1029 ?        00:01:33 firewalld
 1037 ?        00:05:01 ksmtuned
 1039 ?        00:00:07 gssproxy
 1050 ?        00:00:00 iprt-VBoxWQueue
 1052 ?        00:00:02 iprt-VBoxTscThr
 1079 ?        00:00:36 NetworkManager
 1116 tty1     00:00:00 run-initial-set
 1181 tty1     00:00:01 initial-setup-t
 1412 ?        00:09:17 tuned
 1413 ?        00:02:15 rsyslogd
 1416 ?        00:00:39 sshd
 1418 ?        00:00:00 cupsd
 1424 ?        00:00:00 libvirtd
 1435 ?        00:00:18 crond
 1436 ?        00:00:00 atd
 2152 ?        00:00:01 kworker/5:0
 2199 ?        00:00:01 kworker/1:2
 2608 ?        00:00:44 master
 2619 ?        09:25:33 mongod
 2701 ?        00:00:06 qmgr
 2788 ?        00:00:00 dnsmasq
 2789 ?        00:00:00 dnsmasq
 3050 ?        04:53:40 dockerd
 3062 ?        02:06:46 docker-containe
 4587 ?        00:00:00 kworker/4:1
 7530 ?        00:00:00 kworker/7:0
 8096 ?        00:00:00 bioset
 8173 ?        00:00:00 bioset
 8918 ?        00:00:00 kworker/7:0H
 9234 ?        00:00:00 kworker/5:1
10101 ?        00:00:03 docker-containe
10118 pts/0    00:00:00 bash
12936 ?        00:00:00 kworker/1:0
12985 ?        00:00:00 kworker/3:1
14967 ?        00:00:04 kworker/6:2
16511 ?        00:00:00 kworker/4:0
16946 ?        00:00:00 pickup
17161 ?        00:00:00 kworker/2:0
17996 ?        00:00:00 kworker/0:0
18241 ?        00:00:00 sshd
18248 pts/0    00:00:00 bash
18392 ?        00:00:00 kworker/0:1
18517 ?        00:00:00 sshd
18518 ?        00:00:00 sshd
18534 ?        00:00:00 sleep
18535 pts/0    00:00:00 ps
18536 pts/0    00:00:00 tee
20261 ?        00:00:02 kworker/2:2
20947 ?        00:00:00 kworker/7:2
21636 ?        00:01:34 packagekitd
26432 ?        00:00:01 kworker/3:0
26719 ?        00:00:19 kworker/0:2
31213 ?        00:00:00 kworker/u16:0
